id,id_2,code,latitude,longitude,zone,logger_start_date,deploy_date,recovery_date
SALEB1,SALEB1_bommie,0487500001070E,-22.536683,43.2566,Lagoon,7/25/2023 18:00,7/27/2023 16:30,10/22/2024 9:00
SALEB2,,476D700790F07,-22.551233,43.281017,Reef Flat,7/25/2023 18:00,7/28/2023 10:00,
SALEB3,SALEB3_rubble,04288100F32405,-22.534317,43.24945,Backreef,7/25/2023 18:00,7/28/2023 12:00,10/31/2024 9:00
SALEB4,,042C9F00C25A0B,-22.536683,43.2566,Lagoon,7/25/2023 18:00,7/28/2023 12:00,
SALEB5,SALEB5_lagoon,04DC4E0030500F,-22.58695,43.2575,Lagoon,7/25/2023 18:00,7/28/2023 15:00,7/22/2024 10:15
SALEB6,,041ZEA00B90506,-22.586333,43.24875,Forereef,7/25/2023 18:00,7/28/2023 16:00,
SALEB7,,04025900CC0A04,-22.586333,43.24875,Forereef,7/25/2023 18:00,7/28/2023 16:00,
SALEB8,,046AC000451F07,-22.552983,43.281067,Reef Flat,7/25/2023 18:00,7/29/2023 15:15,7/20/2024 9:00
SALEB9,SALEB8_flat,0406 9100 200D 10,-22.549317,43.282483,Reef Flat,8/10/2023 9:00,8/10/2023 9:00,
SALEB10,SALEB10_chezFred,0406 9100 200D 10,-22.554233,43.285767,Air Temperature,7/29/2023 9:00,7/29/2023 17:00,8/7/2024 9:00
